TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
28,0,0.0000,0.0500,1.4960e+28,1.0000e+25,3.5200e+27,3.0000e+25,1.0974e+32,1.7041e+31,142
28,1,0.0500,0.1000,5.1000e+27,3.2000e+26,3.3900e+27,2.4000e+26,9.0816e+30,7.5261e+30,142
28,2,0.1000,0.2000,1.4900e+28,3.6200e+27,8.9000e+27,2.6100e+27,1.4131e+31,8.6800e+30,142
28,3,0.2000,0.3500,1.7450e+28,1.6570e+28,1.5810e+28,1.4650e+28,8.6934e+30,7.7785e+30,142
28,4,0.3500,0.5500,1.6730e+28,4.4110e+28,1.5050e+28,4.0450e+28,5.1182e+30,4.5211e+30,142
28,5,0.5500,1.0100,1.5620e+28,1.8544e+29,1.5160e+28,1.8447e+29,3.0074e+30,2.8827e+30,142
29,0,0.0000,0.0500,1.5200e+28,3.0000e+25,3.2700e+27,2.0000e+25,1.0883e+32,1.7055e+31,142
29,1,0.0500,0.1000,5.2900e+27,3.1000e+26,3.5600e+27,2.8000e+26,8.9429e+30,7.5835e+30,142
29,2,0.1000,0.2000,1.4300e+28,3.8900e+27,9.3500e+27,2.8000e+27,1.4037e+31,8.7121e+30,142
29,3,0.2000,0.3500,1.7040e+28,1.6150e+28,1.4960e+28,1.4370e+28,8.6525e+30,7.6494e+30,142
29,4,0.3500,0.5500,1.6770e+28,4.3420e+28,1.4480e+28,4.0730e+28,5.0494e+30,4.3909e+30,142
29,5,0.5500,1.0100,1.5170e+28,1.7481e+29,1.4070e+28,1.7100e+29,2.9993e+30,2.7528e+30,142
30,0,0.0000,0.0500,1.5430e+28,3.0000e+25,3.3300e+27,0.0000e+00,1.0874e+32,1.7145e+31,143
30,1,0.0500,0.1000,5.3100e+27,3.4000e+26,3.6500e+27,1.8000e+26,8.9440e+30,7.6534e+30,143
30,2,0.1000,0.2000,1.4830e+28,3.9800e+27,9.1100e+27,2.6700e+27,1.4058e+31,8.7715e+30,143
30,3,0.2000,0.3500,1.7310e+28,1.5730e+28,1.5680e+28,1.3410e+28,8.6669e+30,7.6625e+30,143
30,4,0.3500,0.5500,1.6060e+28,4.2920e+28,1.3770e+28,4.0160e+28,5.0355e+30,4.2420e+30,143
30,5,0.5500,1.0100,1.5320e+28,1.7028e+29,1.4280e+28,1.7666e+29,2.9287e+30,2.7766e+30,143
31,0,0.0000,0.0500,1.5280e+28,1.0000e+25,3.4700e+27,3.0000e+25,1.0789e+32,1.7809e+31,143
31,1,0.0500,0.1000,5.0700e+27,3.6000e+26,3.1300e+27,1.7000e+26,8.9066e+30,6.9738e+30,143
31,2,0.1000,0.2000,1.5310e+28,3.6700e+27,8.8500e+27,2.2700e+27,1.3957e+31,8.7160e+30,143
31,3,0.2000,0.3500,1.6250e+28,1.5200e+28,1.5020e+28,1.4510e+28,8.5862e+30,7.6250e+30,143
31,4,0.3500,0.5500,1.5630e+28,3.9800e+28,1.4750e+28,4.3070e+28,4.8890e+30,4.2372e+30,143
31,5,0.5500,1.0100,1.4940e+28,1.6725e+29,1.4640e+28,1.7162e+29,2.8927e+30,2.8058e+30,143
32,0,0.0000,0.0500,1.5100e+28,1.0000e+25,3.7100e+27,4.0000e+25,1.0785e+32,1.8050e+31,144
32,1,0.0500,0.1000,5.3600e+27,3.2000e+26,3.0500e+27,1.5000e+26,8.8456e+30,6.8633e+30,144
32,2,0.1000,0.2000,1.4200e+28,3.4800e+27,9.5100e+27,2.4300e+27,1.3907e+31,8.7901e+30,144
32,3,0.2000,0.3500,1.7030e+28,1.3810e+28,1.5170e+28,1.3870e+28,8.5684e+30,7.6242e+30,144
32,4,0.3500,0.5500,1.5520e+28,3.9690e+28,1.4580e+28,4.0450e+28,4.7777e+30,4.3117e+30,144
32,5,0.5500,1.0100,1.4280e+28,1.5958e+29,1.4840e+28,1.6862e+29,2.7894e+30,2.7295e+30,144
33,0,0.0000,0.0500,1.4440e+28,2.0000e+25,3.5200e+27,3.0000e+25,1.0691e+32,1.8024e+31,144
33,1,0.0500,0.1000,4.7700e+27,3.6000e+26,3.2300e+27,1.5000e+26,8.7532e+30,6.9062e+30,144
33,2,0.1000,0.2000,1.3890e+28,3.6500e+27,9.0700e+27,2.5700e+27,1.3719e+31,8.8203e+30,144
33,3,0.2000,0.3500,1.6210e+28,1.4100e+28,1.4240e+28,1.3610e+28,8.3815e+30,7.5559e+30,144
33,4,0.3500,0.5500,1.5570e+28,3.8090e+28,1.3180e+28,3.7640e+28,4.7125e+30,4.2256e+30,144
33,5,0.5500,1.0100,1.3290e+28,1.5255e+29,1.4390e+28,1.6315e+29,2.7048e+30,2.7079e+30,144
34,0,0.0000,0.0500,1.5200e+28,2.0000e+25,3.2700e+27,0.0000e+00,1.0672e+32,1.8156e+31,145
34,1,0.0500,0.1000,5.0600e+27,3.5000e+26,3.5400e+27,1.7000e+26,8.6899e+30,6.9701e+30,145
34,2,0.1000,0.2000,1.4040e+28,3.5500e+27,8.9000e+27,2.1800e+27,1.3693e+31,9.0015e+30,145
34,3,0.2000,0.3500,1.6000e+28,1.4950e+28,1.4020e+28,1.3020e+28,8.3719e+30,7.3589e+30,145
34,4,0.3500,0.5500,1.5190e+28,3.9600e+28,1.4110e+28,3.8340e+28,4.6780e+30,4.1977e+30,145
34,5,0.5500,1.0100,1.3750e+28,1.4948e+29,1.3960e+28,1.5973e+29,2.6934e+30,2.6301e+30,145
