Line_ID,X_Value,Y_Value
0,813.64249,5.43895
0,814.55766,5.42448
0,815.47284,5.39554
0,816.38802,5.30872
0,817.30320,5.16401
0,818.21837,5.06272
0,819.13355,4.94696
0,820.04873,4.84567
0,820.96391,4.75884
0,821.87909,4.64308
0,822.79426,4.54179
0,823.70944,4.48391
0,824.62462,4.39709
0,825.53980,4.28132
0,826.45497,4.20897
0,827.37015,4.09321
0,828.28533,3.96298
0,829.20051,3.87616
0,830.11568,3.77486
0,831.03086,3.71698
0,831.94604,3.67357
0,832.86122,3.64463
0,833.77640,3.61569
0,834.69157,3.58675
0,835.60675,3.52887
0,836.52193,3.49993
0,837.43711,3.51440
0,838.35228,3.55781
0,839.26746,3.58675
0,840.18264,3.63016
0,841.09782,3.67357
0,842.01299,3.68804
0,842.92817,3.68804
0,843.84335,3.58675
0,844.75853,3.36970
0,845.67371,3.06582
0,846.58888,2.87771
0,847.50406,2.86324
0,848.41924,2.96453
0,849.33442,2.96453
0,850.24959,2.96453
0,851.16477,2.92112
0,852.07995,2.89218
0,852.99513,2.84877
0,853.91030,2.80536
0,854.82548,2.76195
0,855.74066,2.71853
0,856.65584,2.70406
0,857.57102,2.70406
0,858.48619,2.70406
0,859.40137,2.71853
0,860.31655,2.70406
0,861.23173,2.68959
0,862.14690,2.61724
0,863.06208,2.48701
0,863.97726,2.32784
0,864.89244,2.25549
0,865.80761,2.22654
0,866.72279,2.24101
0,867.63797,2.31337
0,868.55315,2.34231
0,869.46833,2.35678
0,870.38350,2.31337
0,871.29868,2.25549
0,872.21386,2.21207
0,873.12904,2.16866
0,874.04421,2.06737
0,874.95939,1.96608
0,875.87457,1.77797
0,876.78975,1.56091
0,877.70492,1.53197
0,878.62010,1.53197
0,879.53528,1.58985
0,880.45046,1.67667
0,881.36564,1.72008
0,882.28081,1.72008
0,883.19599,1.69114
0,884.11117,1.66220
0,885.02635,1.61879
0,885.94152,1.51750
0,886.85670,1.45962
0,887.77188,1.41621
0,888.68706,1.37280
0,889.60223,1.38727
0,890.51741,1.38727
0,891.43259,1.28598
0,892.34777,1.24257
0,893.26295,1.22809
0,894.17812,1.19915
0,895.09330,1.18468
0,896.00848,1.08339
0,896.92366,0.95316
0,897.83883,0.95316
0,898.75401,1.02551
0,899.66919,1.05445
0,900.58437,1.14127
0,901.49954,1.18468
0,902.41472,1.17021
0,903.32990,0.99657
0,904.24508,0.79399
0,905.16026,0.69269
0,906.07543,0.66375
0,906.99061,0.63481
0,907.90579,0.64928
0,908.82097,0.66375
0,909.73614,0.76505
0,910.65132,0.80846
0,911.56650,0.82293
0,912.48168,0.77952
0,913.39685,0.70716
0,914.31203,0.60587
0,915.22721,0.53352
0,916.14239,0.51905
0,917.05757,0.51905
0,917.97274,0.50458
0,918.88792,0.46117
0,919.80310,0.38882
0,920.71828,0.35988
0,921.63345,0.34541
0,922.54863,0.35988
0,923.46381,0.37435
0,924.37899,0.40329
0,925.29416,0.49011
0,926.20934,0.56246
0,927.12452,0.54799
0,928.03970,0.49011
0,928.95488,0.38882
0,929.87005,0.38882
0,930.78523,0.40329
0,931.70041,0.43223
0,932.61559,0.46117
0,933.53076,0.47564
0,934.44594,0.46117
0,935.36112,0.41776
0,936.27630,0.38882
0,937.19147,0.35988
0,938.10665,0.34541
0,939.02183,0.37435
0,939.93701,0.37435
0,940.85218,0.33094
0,941.76736,0.28753
0,942.68254,0.20070
0,943.59772,0.17176
0,944.51290,0.14282
0,945.42807,0.11388
0,946.34325,0.07047
0,947.25843,-0.03082
0,948.17361,-0.17552
0,949.08878,-0.17552
0,950.00396,-0.13211
0,950.91914,-0.10317
0,951.83432,-0.07423
0,952.74949,-0.04529
0,953.66467,-0.01635
0,954.57985,0.01259
0,955.49503,0.02706
0,956.41021,0.05600
0,957.32538,0.08494
0,958.24056,0.07047
0,959.15574,0.07047
0,960.07092,0.04153
0,960.98609,0.01259
0,961.90127,-0.03082
0,962.81645,-0.05976
0,963.73163,-0.08870
0,964.64680,-0.11764
0,965.56198,-0.14658
0,966.47716,-0.18999
0,967.39234,-0.24787
0,968.30752,-0.29128
0,969.22269,-0.30576
0,970.13787,-0.27681
0,971.05305,-0.26234
0,971.96823,-0.23340
0,972.88340,-0.23340
0,973.79858,-0.23340
0,974.71376,-0.29128
0,975.62894,-0.33470
0,976.54411,-0.32023
0,977.45929,-0.24787
0,978.37447,-0.21893
0,979.28965,-0.18999
0,980.20483,-0.23340
0,981.12000,-0.29128
0,982.03518,-0.30576
0,982.95036,-0.30576
0,983.86554,-0.32023
0,984.78071,-0.34917
0,985.69589,-0.39258
0,986.61107,-0.42152
0,987.52625,-0.42152
0,988.44142,-0.39258
0,989.35660,-0.36364
0,990.27178,-0.32023
0,991.18696,-0.26234
0,992.10214,-0.26234
0,993.01731,-0.29128
0,993.93249,-0.32023
0,994.84767,-0.36364
0,995.76285,-0.40705
0,996.67802,-0.46493
