TAA,Side,Band_Index,EffCos_Lo,EffCos_Hi,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV
343,Dawn,3,0.2000,0.3500,4.004279e+25,1.218399e+26,2.925384e+27,1.196726e+29,6.431118e+29,6.422515e+29,3.037933e+29,9.785657e+28,2.277833e+28,3.787348e+27
343,Dawn,4,0.3500,0.5500,8.032605e+25,7.078066e+25,1.513798e+26,1.642659e+27,2.617742e+28,2.115012e+29,2.211500e+29,8.093491e+28,1.871964e+28,3.023757e+27
343,Dawn,5,0.5500,1.0100,6.373205e+25,1.689356e+26,3.253222e+26,3.523992e+26,1.109100e+27,7.604105e+27,3.665972e+28,4.399313e+28,1.640974e+28,2.952482e+27
343,Dusk,0,0.0000,0.0500,5.527872e+28,2.037811e+29,4.233394e+29,6.037129e+29,5.916077e+29,4.079622e+29,1.893465e+29,6.100986e+28,1.465432e+28,2.459742e+27
343,Dusk,1,0.0500,0.1000,4.005105e+26,2.642534e+28,1.458799e+29,2.468463e+29,2.556278e+29,1.752055e+29,8.005778e+28,2.570891e+28,5.859786e+27,9.025613e+26
343,Dusk,2,0.1000,0.2000,1.830189e+25,1.717499e+27,9.641646e+28,3.756351e+29,4.623922e+29,3.258780e+29,1.546855e+29,4.979942e+28,1.171462e+28,1.943841e+27
343,Dusk,3,0.2000,0.3500,4.153813e+22,4.984342e+25,1.655355e+27,5.296067e+28,2.972607e+29,3.313564e+29,1.645351e+29,5.387378e+28,1.230659e+28,2.098359e+27
343,Dusk,4,0.3500,0.5500,3.030694e+25,1.007349e+26,1.724978e+26,1.154162e+27,1.746200e+28,1.155668e+29,1.249407e+29,4.599945e+28,1.113602e+28,1.745158e+27
343,Dusk,5,0.5500,1.0100,1.336722e+26,8.879229e+25,3.250765e+26,3.250699e+26,1.036185e+27,6.959253e+27,3.256010e+28,3.620662e+28,1.330338e+28,2.363297e+27
344,Dawn,0,0.0000,0.0500,1.002898e+29,3.251955e+29,6.161408e+29,8.223080e+29,7.856055e+29,5.261950e+29,2.439627e+29,7.914214e+28,1.889738e+28,2.951391e+27
344,Dawn,1,0.0500,0.1000,1.898283e+27,7.671369e+28,2.600957e+29,3.671798e+29,3.497062e+29,2.266504e+29,1.028307e+29,3.304741e+28,8.133724e+27,1.319288e+27
344,Dawn,2,0.1000,0.2000,3.588452e+25,3.852535e+27,2.411881e+29,7.799151e+29,8.302490e+29,5.546126e+29,2.562530e+29,8.249342e+28,1.933756e+28,3.505101e+27
344,Dawn,3,0.2000,0.3500,4.004296e+25,1.230091e+26,2.903123e+27,1.168855e+29,6.380865e+29,6.418897e+29,3.038621e+29,9.779504e+28,2.283988e+28,3.845617e+27
344,Dawn,4,0.3500,0.5500,2.032743e+25,1.407840e+26,1.912267e+26,1.807055e+27,2.624242e+28,2.084069e+29,2.197448e+29,8.093542e+28,1.872009e+28,3.062484e+27
344,Dawn,5,0.5500,1.0100,1.737493e+26,2.289770e+26,3.653931e+26,3.485362e+26,1.055111e+27,7.638901e+27,3.712707e+28,4.391962e+28,1.661872e+28,2.912398e+27
344,Dusk,0,0.0000,0.0500,5.534955e+28,2.039916e+29,4.239394e+29,6.044302e+29,5.918081e+29,4.082199e+29,1.893942e+29,6.099557e+28,1.468185e+28,2.455776e+27
344,Dusk,1,0.0500,0.1000,4.024666e+26,2.639021e+28,1.460973e+29,2.470814e+29,2.556093e+29,1.750201e+29,7.994834e+28,2.567043e+28,5.842866e+27,8.984412e+26
344,Dusk,2,0.1000,0.2000,1.398242e+25,1.547790e+27,9.550692e+28,3.755465e+29,4.622993e+29,3.255766e+29,1.547577e+29,4.973227e+28,1.168422e+28,1.936984e+27
344,Dusk,3,0.2000,0.3500,1.005093e+25,5.047187e+25,1.599943e+27,5.222894e+28,2.963384e+29,3.311060e+29,1.645301e+29,5.384596e+28,1.231552e+28,2.074279e+27
344,Dusk,4,0.3500,0.5500,3.030904e+25,1.207399e+26,1.090078e+26,1.148692e+27,1.771766e+28,1.154659e+29,1.247281e+29,4.627982e+28,1.110690e+28,1.717910e+27
344,Dusk,5,0.5500,1.0100,9.369218e+25,1.488402e+26,2.251585e+26,4.043603e+26,9.831371e+26,7.233301e+27,3.240655e+28,3.663948e+28,1.344950e+28,2.405086e+27
345,Dawn,0,0.0000,0.0500,1.000792e+29,3.257023e+29,6.169984e+29,8.230663e+29,7.862220e+29,5.264341e+29,2.441488e+29,7.919041e+28,1.889345e+28,2.956108e+27
345,Dawn,1,0.0500,0.1000,1.829802e+27,7.605609e+28,2.601372e+29,3.674174e+29,3.496759e+29,2.265321e+29,1.028915e+29,3.307291e+28,8.118404e+27,1.323473e+27
345,Dawn,2,0.1000,0.2000,3.203564e+25,3.740073e+27,2.386571e+29,7.786137e+29,8.309786e+29,5.548508e+29,2.564898e+29,8.260821e+28,1.936478e+28,3.485405e+27
345,Dawn,3,0.2000,0.3500,4.004290e+25,9.377605e+25,2.644119e+27,1.137826e+29,6.334087e+29,6.413687e+29,3.037462e+29,9.796287e+28,2.285101e+28,3.823424e+27
