TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
197,2.8013e+30,1.1946e+30,1.5656e+30,3.4090e+28,7.0560e+27,8.7995e+29,3.1463e+29,1.1048e+30,4.6081e+29,2.2336e+28,1.1754e+28,3.5690e+27,3.4870e+27,42.6,55.9,1.2,0.3,2.8016e+30,2.7644e+30,3.2223e+28,5.0130e+27,1.5165e+28,0.0000e+00,98.7,1.2,0.2
198,2.7943e+30,1.1922e+30,1.5607e+30,3.4262e+28,7.0890e+27,8.7316e+29,3.1900e+29,1.0949e+30,4.6581e+29,2.2513e+28,1.1749e+28,3.5620e+27,3.5270e+27,42.7,55.9,1.2,0.3,2.7948e+30,2.7573e+30,3.2338e+28,5.0910e+27,1.5256e+28,0.0000e+00,98.7,1.2,0.2
199,2.7661e+30,1.1799e+30,1.5434e+30,3.5754e+28,7.0450e+27,8.4488e+29,3.3504e+29,1.0461e+30,4.9729e+29,2.3696e+28,1.2058e+28,3.5270e+27,3.5180e+27,42.7,55.8,1.3,0.3,2.7666e+30,2.7295e+30,3.1927e+28,5.2640e+27,1.5251e+28,0.0000e+00,98.7,1.2,0.2
200,2.7543e+30,1.1764e+30,1.5361e+30,3.4765e+28,7.0710e+27,8.4897e+29,3.2740e+29,1.0564e+30,4.7972e+29,2.2845e+28,1.1920e+28,3.5200e+27,3.5510e+27,42.7,55.8,1.3,0.3,2.7544e+30,2.7173e+30,3.1675e+28,5.4440e+27,1.5351e+28,0.0000e+00,98.7,1.1,0.2
201,2.7236e+30,1.1651e+30,1.5178e+30,3.3624e+28,7.0400e+27,8.4632e+29,3.1881e+29,1.0595e+30,4.5832e+29,2.1818e+28,1.1806e+28,3.5540e+27,3.4860e+27,42.8,55.7,1.2,0.3,2.7244e+30,2.6878e+30,3.1357e+28,5.2630e+27,1.5354e+28,0.0000e+00,98.7,1.2,0.2
202,2.7041e+30,1.1595e+30,1.5047e+30,3.2898e+28,7.0670e+27,8.4842e+29,3.1105e+29,1.0652e+30,4.3946e+29,2.1150e+28,1.1748e+28,3.5730e+27,3.4940e+27,42.9,55.6,1.2,0.3,2.7045e+30,2.6682e+30,3.0978e+28,5.2560e+27,1.5464e+28,0.0000e+00,98.7,1.1,0.2
203,2.6696e+30,1.1462e+30,1.4817e+30,3.4633e+28,7.0520e+27,8.1318e+29,3.3298e+29,9.9910e+29,4.8262e+29,2.2711e+28,1.1922e+28,3.4910e+27,3.5610e+27,42.9,55.5,1.3,0.3,2.6697e+30,2.6338e+30,3.0379e+28,5.5910e+27,1.5476e+28,0.0000e+00,98.7,1.1,0.2
204,2.6515e+30,1.1413e+30,1.4690e+30,3.4162e+28,7.0760e+27,8.1421e+29,3.2710e+29,1.0014e+30,4.6760e+29,2.2167e+28,1.1995e+28,3.5020e+27,3.5740e+27,43.0,55.4,1.3,0.3,2.6525e+30,2.6163e+30,3.0520e+28,5.7210e+27,1.5596e+28,0.0000e+00,98.6,1.2,0.2
205,2.6103e+30,1.1266e+30,1.4441e+30,3.2674e+28,7.0460e+27,8.1058e+29,3.1598e+29,9.9984e+29,4.4422e+29,2.1108e+28,1.1566e+28,3.5200e+27,3.5260e+27,43.2,55.3,1.3,0.3,2.6108e+30,2.5757e+30,2.9490e+28,5.5830e+27,1.5616e+28,0.0000e+00,98.7,1.1,0.2
206,2.5808e+30,1.1165e+30,1.4253e+30,3.1934e+28,7.0660e+27,8.0946e+29,3.0702e+29,1.0020e+30,4.2329e+29,2.0540e+28,1.1394e+28,3.5460e+27,3.5200e+27,43.3,55.2,1.2,0.3,2.5815e+30,2.5467e+30,2.9312e+28,5.5550e+27,1.5693e+28,0.0000e+00,98.6,1.1,0.2
207,2.5475e+30,1.1040e+30,1.4040e+30,3.2531e+28,7.0400e+27,7.9159e+29,3.1243e+29,9.7075e+29,4.3320e+29,2.1022e+28,1.1509e+28,3.5160e+27,3.5240e+27,43.3,55.1,1.3,0.3,2.5475e+30,2.5130e+30,2.8950e+28,5.6070e+27,1.5774e+28,0.0000e+00,98.6,1.1,0.2
208,2.5167e+30,1.0933e+30,1.3835e+30,3.2885e+28,7.0580e+27,7.7484e+29,3.1842e+29,9.3921e+29,4.4430e+29,2.1316e+28,1.1569e+28,3.5520e+27,3.5060e+27,43.4,55.0,1.3,0.3,2.5176e+30,2.4831e+30,2.8393e+28,6.1570e+27,1.5860e+28,0.0000e+00,98.6,1.1,0.2
209,2.4796e+30,1.0817e+30,1.3590e+30,3.1873e+28,7.0610e+27,7.7341e+29,3.0830e+29,9.3718e+29,4.2179e+29,2.0485e+28,1.1388e+28,3.5000e+27,3.5610e+27,43.6,54.8,1.3,0.3,2.4803e+30,2.4461e+30,2.8119e+28,6.0740e+27,1.5950e+28,0.0000e+00,98.6,1.1,0.2
210,2.4312e+30,1.0661e+30,1.3275e+30,3.0503e+28,7.0550e+27,7.6900e+29,2.9708e+29,9.2844e+29,3.9908e+29,1.9539e+28,1.0964e+28,3.5190e+27,3.5360e+27,43.9,54.6,1.3,0.3,2.4320e+30,2.3982e+30,2.7755e+28,6.0800e+27,1.5990e+28,0.0000e+00,98.6,1.1,0.2
